SMILES,tg
OC(=O)c1ccc(cc1)C(=O)O.OCCO,344.0
O=C1CCCCCCCN1,324.0
C=CC(=O)OCC(F)(F)C(F)(F)F,247.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,236.0
CCCCOCC1CO1,194.0
C=CC(=O)OCCCCCCCCC,215.0
C=Cc1ccc(C(=O)CCCCC)cc1,339.0
NCCCCCCCCCC(=O)O,315.0
NCCCCCCN.OC(=O)CCCCC(=O)O,324.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,238.0
CCCOC(=O)C=C,236.0
C=CC(=O)Oc1cccc(C(=O)OCC)c1,297.0
OC(=O)CCC(=O)O.OCCO,267.0
NCCCCCCCCCCCC(=O)O,313.0
CCCOC=C,224.0
CCCCCCCCCCCCOC(=O)C(=C)C,270.0
ClCC1CO1,252.0
C=Cc1ccccc1,373.0
OC(=O)CCCCC(=O)O.OCCO,230.0
C=CC(=O)OC(CC)CC,267.0
C=CC(C)C,292.0
CCC(c1ccc(cc1)O)(c1ccc(cc1)O)C.ClC(=O)Cl,415.0
C=CC(=O)Oc1cccc(C)c1,298.0
C=CC(=O)Oc1ccc(C)cc1,316.0
C=Cc1ccc(COC)cc1,350.0
C=Cc2ccc(/C(Cc1ccccc1)=N/O)cc2,384.0
OC(=O)c1cc(ccc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,462.0
CC=C,264.0
CCCCCCCCOC(=O)C(=C)C#N,322.0
C=CC(=O)Oc1ccccc1C(=O)OCC,303.0
OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,392.0
CCCCOC=C,220.0
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)F,218.0
C=CC(=O)Oc1ccccc1C(=O)OC,319.0
C=Cc1ccccc1C(=O)OCCCCCC,318.0
C=O,211.0
C=CC(=O)OCCC(C)C,228.0
C=CC(=O)OC(F)(C(F)(F)F)C(F)(F)F,283.0
OC(=O)C=C,374.0
CC=CC=C,204.0
CCCCCCCCNC(=O)C=C,220.0
C=Cc1ccc(C(=O)OCC)cc1,367.0
C=CC(=O)Oc2ccc1ccccc1c2,358.0
C=Cc1ccc(C(=O)OCCC)cc1,365.0
OC(=O)c1ccc(cc1)C(=O)O.OCCCO,327.0
C=CC(=O)OC(C)C#N,339.0
C=CCC=C,208.0
C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,243.0
FC(=C)F,242.0
C=Cc2ccc(C(=O)Cc1ccccc1)cc2,351.0
C=CCC(C)C,302.0
CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,311.0
C=Cc1ccc(C(=O)OC(C)C)cc1,368.0
C=Cc1ccccc1COCC(C)(C)C,351.0
C=CC(=O)OCCCOCC,218.0
C=CC(=O)OF,288.0
CCCCCCCOC(=O)C=C,213.0
COCC1CO1,211.0
OC(=O)c1ccc(cc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,472.0
C=CC(=O)Oc1ccc(OC)cc1,324.0
O=C=O.C1CO1,290.0
CC(=C)C,202.0
OC(=O)CCCCCCCCC(=O)O.NCCCCCCN,323.0
C=CC(=O)OCCCCCCC#N,358.0
C=CC(=O)Oc1ccccc1C(C)(C)C,345.0
C=CC(=O)OCC(C)CCC,235.0
Brc1ccc(cc1)Br.C=C,353.0
C=CC(=O)OCCCCCC,216.0
CCCCCCCCC=C,230.0
C=Cc1ccccc1Cl,395.0
CC(OC(=O)C=C)CC,250.0
C=Cc1ccc(cc1)F,376.0
C=CC(=O)OCCC(=O)C(F)(F)C(F)F,251.0
C=CC(=O)OCC#N,296.0
O=C=O.CC1CO1,310.0
C=Cc2ccc(Cc1ccc(OC)cc1)cc2,376.0
FC(F)C(F)(F)COC(=O)C(=C),249.0
CCOC=C,234.0
OC(=O)c1cccc(c1)C(=O)O.OCCCCO,297.0
ClC=C,350.0
C=CC(=O)OCCCC#N,233.0
C=CC#N,383.0
OC(=O)c1ccc(cc1)C(=O)O.OCC1CCC(CC1)CO,364.0
Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl.Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O,489.0
C1COCO1,209.0
C=CC(=O)OCCC(=O)CC(F)(F)F,235.0
CCOCOC(=O)C(=C)C,223.0
C1CCO1,197.0
C=CC(=O)Oc1cccc(N(C)C)c1,320.0
Brc1ccc(cc1)Br,538.0
C=Cc1ccc(C(=O)OCCCC)cc1,349.0
C=CC(=O)OCCC(=O)CCC(=O)C(F)(F)C(F)F,233.0
FC=C,300.0
OC(=O)CCCCCCCCC(=O)O.OCCCCO,214.0
O=C1OCC(=O)OC1,312.0
C=CC(=O)Oc1ccc(C(=O)OCCCC)cc1,286.0
Oc1ccc(cc1)Cc1ccc(cc1)O.ClC(=O)Cl,407.0
C1CNC1=O,384.0
CCCCCCOCC1CO1,189.0
CCCCC(COC(=O)C=C)CC,221.0
