SMILES,SMILES_1_atom,SMILES_2_atom,SMILES_3_atom,SMILES_1,SMILES_2,SMILES_3,tg
C=CC(=O)OCc1ccccc1,"[6, 7, 8, 9, 10, 11]","[2, 4, 5]","[0, 1]",[cH]1:[cH]:[c]:[cH]:[cH]:[cH]:1,[C]-[O]-[CH2],[CH2]=[CH],279
C=CC(=O)Oc2ccc(c1ccccc1)cc2,"[5, 6, 7, 8, 15, 16]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],383
CCCCOC(=O)C=C,"[3, 4, 5]","[7, 8]","[1, 2, 3]",[C]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2],219
CC(OC(=O)C=C)CC,"[1, 2, 3]","[5, 6]","[2, 3, 4, 5]",[C]-[O]-[CH],[CH]=[CH2],[CH]-[C](=[O])-[O],250
C=CC(=O)Oc1ccccc1C(C)(C)C,"[5, 6, 7, 8, 9, 10]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],345
C=CC(=O)Oc1ccc(C(C)(C)C)cc1,"[5, 6, 7, 8, 13, 14]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],344
C=CC(=O)Oc1ccc(C#N)cc1,"[5, 6, 7, 8, 11, 12]","[9, 10]","[0, 1]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[C]#[N],[CH2]=[CH],317
C=CC(=O)OCC(C)C#N,"[8, 9]","[2, 4, 5]","[6, 8, 9]",[C]#[N],[C]-[O]-[CH2],[CH]-[C]#[N],324
C=CC(=O)OCCC#N,"[7, 8]","[2, 4, 5]","[6, 7, 8]",[C]#[N],[C]-[O]-[CH2],[CH2]-[C]#[N],277
C=CC(=O)OCCCCCCC#N,"[11, 12]","[2, 4, 5]","[10, 11, 12]",[C]#[N],[C]-[O]-[CH2],[CH2]-[C]#[N],358
C=CC(=O)OC(C)C#N,"[7, 8]","[2, 4, 5]","[5, 7, 8]",[C]#[N],[C]-[O]-[CH],[CH]-[C]#[N],339
C=CC(=O)OCC(C)C(C)CC,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],258
CCCCCCCCCCCCOC(=O)C(=C)C,"[11, 12, 13]","[15, 16]","[1, 2, 3, 4, 5]",[C]-[O]-[CH2],[C]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],270
C=CC(=O)Oc1ccccc1C(=O)OCC,"[5, 6, 7, 8, 9, 10]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],303
C=CC(=O)Oc1cccc(C(=O)OCC)c1,"[5, 6, 7, 8, 9, 15]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],297
C=CC(=O)OCCCOCC,"[2, 4, 5]","[0, 1]","[5, 6, 7]",[C]-[O]-[CH2],[CH2]=[CH],[CH2]-[CH2]-[CH2],218
CCOC(=O)C=C,"[1, 2, 3]","[5, 6]","[2, 3, 4, 5]",[C]-[O]-[CH2],[CH]=[CH2],[CH]-[C](=[O])-[O],249
C=CC(=O)OF,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[F],[CH2]=[CH],[CH]-[C](=[O])-[O],288
C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[C],[CH2]=[CH],[CH]-[C](=[O])-[O],243
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)F,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],218
C=CC(=O)OC(F)(C(F)(F)F)C(F)(F)F,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[C],[CH2]=[CH],[CH]-[C](=[O])-[O],283
C=CC(=O)OC(C)CCCCC,"[2, 4, 5]","[0, 1]","[7, 8, 9]",[C]-[O]-[CH],[CH2]=[CH],[CH2]-[CH2]-[CH2],235
CCCCCCOC(=O)C=C,"[5, 6, 7]","[9, 10]","[1, 2, 3, 4, 5]",[C]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],308
C=CC(=O)OCCCCCC,"[2, 4, 5]","[0, 1]","[5, 6, 7, 8, 9]",[C]-[O]-[CH2],[CH2]=[CH],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],216
C=CC(=O)OCC(C)C,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],249
C=CC(=O)OCC(C)OC,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],217
C=CC(=O)Oc1cccc(C(=O)OC)c1,"[5, 6, 7, 8, 9, 14]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],311
C=CC(=O)Oc1ccc(C(=O)OC)cc1,"[5, 6, 7, 8, 13, 14]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],340
C=CC(=O)Oc1ccc(OC)cc1,"[5, 6, 7, 8, 11, 12]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],324
C=CC(=O)Oc1ccc(CCCOC)cc1,"[5, 6, 7, 8, 14, 15]","[0, 1]","[9, 10, 11]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]-[CH2]-[CH2],198
C=CC(=O)OCC(C)CC,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],241
C=CC(=O)OCCC(C)C,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],228
C=CC(=O)OCC(C)CCC,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],235
C=CC(=O)Oc2ccc1ccccc1c2,"[5, 6, 7, 8, 13, 14]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[cH]:[c]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],358
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)F,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],224
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],236
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],238
C=CC(=O)OCC(F)(F)C(F)(F)F,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],247
C=CC(=O)OC(CC)CC,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH],[CH2]=[CH],[CH]-[C](=[O])-[O],267
CC(=C)C(=O)OCCc1ccccc1,"[8, 9, 10, 11, 12, 13]","[3, 5, 6]","[1, 2]",[cH]1:[cH]:[c]:[cH]:[cH]:[cH]:1,[C]-[O]-[CH2],[C]=[CH2],270
CCCOC(=O)C=C,"[2, 3, 4]","[6, 7]","[3, 4, 5, 6]",[C]-[O]-[CH2],[CH]=[CH2],[CH]-[C](=[O])-[O],236
C=CC(=O)OCCCCCCCCCCCCCC,"[2, 4, 5]","[0, 1]","[5, 6, 7, 8, 9]",[C]-[O]-[CH2],[CH2]=[CH],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],297
C=CC(=O)OCCC(=O)C(F)(F)C(F)F,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],251
C=CC(=O)Oc1cccc(C)c1,"[5, 6, 7, 8, 9, 11]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],298
C=CC(=O)Oc1ccccc1C,"[5, 6, 7, 8, 9, 10]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],325
C=CC(=O)OCC(F)(F)F,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],263
C=CC(=O)OCCC(=O)CC(F)(F)F,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],235
